event_name,event_date,r_fighter,b_fighter,winner,weight_class,method,r_fights_prior,b_fights_prior,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,SLpM_total_diff,SApM_total_diff,wins_total_diff,losses_total_diff,reach_diff,height_diff,age_diff,weight_diff
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,Ron van Clief,Red,Open Weight,Submission,7,0,0.4418604651162791,0.2727272727272727,0.55,0.5714285714285714,4.70532319391635,1.2832699619771863,0.5418250950570342,0.5133079847908746,7,0,,7.619999999999976,-24.0,-6.800000000000011
UFC 4: Revenge of the Warriors,1994-12-16,Marcus Bossett,Eldo Xavier Dias,Red,Open Weight,KO/TKO,1,0,0.5,0.0,1.0,0.0,0.0,0.0,1.1538461538461537,0.0,0,1,,5.079999999999984,,15.86999999999999
UFC 4: Revenge of the Warriors,1994-12-16,Steve Jennum,Melton Bowen,Red,Open Weight,Submission,1,0,0.5454545454545454,1.0,0.6666666666666667,1.0,0.0,10.344827586206897,4.137931034482759,1.3793103448275863,1,0,,-5.079999999999984,,-4.540000000000006
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,Oleg Taktarov,Red,Open Weight,TKO - Doctor's Stoppage,3,0,0.4444444444444444,0.5714285714285714,0.4,1.0,1.6274864376130198,3.2549728752260396,0.21699819168173598,0.488245931283906,2,1,,5.0800000000000125,9.0,18.15000000000001
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,Dave Beneteau,Red,UFC 5 Tournament Title,Submission,4,0,0.5,0.625,0.4375,1.0,1.3167520117044624,3.291880029261156,0.570592538405267,0.39502560351133875,3,1,,0.0,,0.0
UFC 5: The Return of the Beast,1995-04-07,Dave Beneteau,Todd Medina,Red,Open Weight,KO/TKO,1,0,0.3333333333333333,0.0,0.33333333333333337,0.0,0.0,0.0,0.6629834254143646,0.6629834254143646,0,1,,10.159999999999997,,25.86
UFC 5: The Return of the Beast,1995-04-07,Dan Severn,Joe Charles,Red,Open Weight,Submission,5,1,-0.11609195402298844,-0.33333333333333337,0.25,0.0,1.7441860465116281,-60.79734219269103,-80.84717607973423,-38.14507198228128,3,1,,2.5400000000000205,,-4.530000000000001
UFC 5: The Return of the Beast,1995-04-07,Dave Beneteau,Asbel Cancio,Red,Open Weight,KO/TKO,2,0,0.5263157894736842,0.5,0.5,0.5,0.0,2.8753993610223643,1.9169329073482428,0.38338658146964855,1,1,,10.159999999999997,,11.340000000000003
UFC 5: The Return of the Beast,1995-04-07,Todd Medina,Larry Cureton,Red,Open Weight,Submission,1,0,0.0,0.0,0.3846153846153846,0.0,0.0,0.0,0.0,3.6363636363636362,0,1,,-10.159999999999997,,-21.319999999999993
UFC 5: The Return of the Beast,1995-04-07,Guy Mezger,John Dowdy,Red,Open Weight,KO/TKO,1,0,0.6333333333333333,1.0,0.25,1.0,0.0,6.7669172932330826,8.571428571428571,4.060150375939849,1,0,,0.0,,0.0
